Type,Phrase Type,Label,Topic,Parent,Label Explanation,Example Sentence,Example Source,Example Url,English,French,Spanish,Italian,Arabic
Phrase,V,A,Xinjiang,,,,,,Xinjiang is a great place,Le Xinjiang est un endroit formidable,Xinjiang es un gran lugar,Il Xinjiang è un luogo meraviglioso,شينجيانغ مكان رائع
Phrase,N,A,Xinjiang,,"CCP's prefered framing of their Xinjiang policies, distracting from human rights violations.","""I sincerely believe that the work done to eradicate religious extremism is bearing fruit,"" [Pierre Mirochnikoff] said, adding that the facts are there for all to see, ""and facts speak louder than anything else.""",Xinhua,http://www.news.cn/english/2021-11/27/c_1310335473.htm,religious extremism,extrémisme religieux,extremismo religioso,estremismo religioso,التطرف الديني
Phrase,N,A,Xinjiang,,"CCP's prefered framing of their Xinjiang policies, distracting from human rights violations.","""The United States, while persecuting Muslims and carrying out de-Islamization, is hurling accusations at China's de-radicalization efforts in Xinjiang,"" Liu said.",China.org.cn,http://www.china.org.cn/china/2021-08/13/content_77690361.htm,de-radicalization,déradicalisation,des-radicalización,de-radicalizzazione,إزالة التطرف
Phrase,V,A,Xinjiang,,,,,,lie about the situation in Xinjiang,mensonge au sujet de la situation au Xinjiang,mentiras sobre la situación en Xinjiang,menzogne sulla situazione in Xinjiang,كذب بشأن الوضع في شينجيانغ
Phrase,V,A,Xinjiang,,,,,,politicalizing Xinjiang,Politiser le Xinjiang,politizar Xinjiang,politicizzazione del Xinjiang,تسييس شينجيانغ
Phrase,N,A,Xinjiang,,"CCP's prefered framing of their Xinjiang policies, distracting from human rights violations.",,,,East Turkistan separatism,séparatisme sur le Turkestan oriental,separatismo del Turkestán oriental,separatismo del Turkestan orientale,انفصالية تركستان الشرقية
Phrase,N,A,Xinjiang,,Slogan attempting to dismiss concerns about human rights by attacking the accusers as dishonest.,"He emphasized that the accusation of ""genocide"" and ""forced labor"" in Xinjiang is a lie of the century, but it has become a politically correct thing in the United States.",Xinhua,https://english.news.cn/20211015/C9A3F7AEB8F000011D59269DE730A580/c.html,lie of the century,le mensonge du siècle,la mentira del siglo,menzogna del secolo,كذبة القرن
Phrase,N,A,Xinjiang,,Slogan attempting to dismiss concerns about human rights by attacking the accusers as dishonest.,"""It is not difficult to see that the real fabricators and 'beneficiaries' of Xinjiang-related lies are some anti-China forces in the United States,"" Wang noted.",China.org.cn,http://www.china.org.cn/world/2022-01/15/content_77991019.htm,Xinjiang related lies,Les mensonges liés au Xinjiang,mentiras relacionadas con Xinjinag,menzogne sul Xinjiang,أكاذيب متعلقة بشينجيانغ
Phrase,N,A,Xinjiang,,Slogan attempting to dismiss concerns about human rights by attacking the accusers as dishonest.,,,,the US genocide lie,le mensonge américain sur le génocide,la mentira americana/de Estados Unidos sobre el genocidio,la menzogna statunitense sul genocidio ,كذبة الولايات المتحدة عن الإبادة الجماعية
Phrase,N,A,Xinjiang,,Slogan attempting to dismiss concerns about human rights by denying the evidence.,#Opinion: Xinjiang’s population data shows Uygur ethnic group has increased by 1.623 million in past decade. “Genocide” that can never be proven has now been called “slow genocide” by some Westerners.,Global Times,https://twitter.com/globaltimesnews/status/1407299552659460104,genocide that can never be proven,un génocide qui ne pourra jamais être prouvé,genocidio que nunca podrá ser probado,genocidio che non si potrà mai dimostrare,إبادة جماعية لا يمكن إثباتها
Phrase,N,A,Xinjiang,,Slogan attempting to dismiss concerns about human rights by attacking the accusers.,"While people in Xinjiang live in peace &security, some ill-minded Western politicians &fact-distorting journalists, some of whom have never set foot in China, are engineering a bizarre story of ""genocide"" in the region.",PRC consulate in Sydney,https://twitter.com/ChinaConSydney/status/1365196902032171012,bizarre story of genocide,une étrange histoire de génocide,extraña historia de genocidio,bizzarra storia sul genocidio,قصة إبادة جماعية غريبة
Phrase,N,A,Xinjiang,,Dismissive characterization of concerns about human rights abuses.,"At the recent 48th session of the United Nations Human Rights Council, some Western countries made groundless accusations against China over Xinjiang-related issues based on disinformation, rumors, and lies, said Xu Guixiang, a spokesperson with the regional government, at a press conference in Beijing.",Xinhua,http://www.news.cn/english/2021-10/12/c_1310238191.htm,groundless accusations,accusations sans fondement,acusaciones infundadas,accuse senza fondamento,اتهامات لا أساس لها
Phrase,N,A,Xinjiang,,Dismissive slogan attempting to sow doubt.,"The output of the cotton textile industry in the Xinjiang Uygur autonomous region and exports of its products both achieved significant growth this year despite a boycott of cotton and textile products from the region amid allegations of so-called forced labor, business insiders said.",China.org.cn,http://www.china.org.cn/business/2021-11/18/content_77879864.htm,so-called forced labor,le soi-disant travail forcé,los llamados trabajos forzados,cosiddetto lavoro forzato,ما يسمى بالسخرة
Phrase,N,A,General,,Dismissive slogan attempting to sow doubt.,"Several human rights groups based in London and New York recently reported so-called human rights abuses linked to Chinese business operations abroad, smearing Belt and Road projects and China's outbound investment.",Xinhua,http://www.xinhuanet.com/english/2021-08/13/c_1310125398.htm,so-called human rights abuses,les soi-disant violations des droits de l'homme,las llamadas violaciones de los derechos humanos,cosiddetta violazione dei diritti umani,ما يسمى انتهاكات حقوق الإنسان
Phrase,N,A,General,so-called human rights abuses,,,,,alleged human rights abuses,violations présumées des droits de l'homme,presuntas violaciones de los derechos humanos,presunte violazioni dei diritti umani,انتهاكات حقوق الإنسان المزعومة
Phrase,N,A,Xinjiang,,CCP's preferred framing of the internment camps.,"Workers of all ethnic groups in Xinjiang, including graduates from the vocational education and training centers, always choose their jobs of their own volition.",People's Daily,http://en.people.cn/n3/2021/0927/c90000-9901656.html,vocational education,l'enseignement professionnel,educación vocacional,formazione professionale,التعليم المهني
Phrase,N,R,Xinjiang,,Made redundant by vocational education,,,,vocational education center,centre d'éducation professionnelle,centro de eduación vocacional,centri di formazione professionale ,مركز التعليم المهني
Phrase,N,A,Xinjiang,,CCP's preferred framing of the internment camps.,,,,transformation through education,la transformation par l'éducation,transformación a través de la educación,trasformare attraverso l'educazione,التحول من خلال التعليم
Phrase,N,A,Xinjiang,,Catchphrase employed by the CCP as a device for Whataboutism regarding human rights concerns.,"To do this, countries like the United States should stop abusing its war on terror as a pretext for intervention, and abandon their double standards in fighting terrorism, as those acts gravely undermine the much-needed global cooperation.",Xinhua,http://www.news.cn/english/2021-09/12/c_1310182909.htm,double standards,double standards,doble rasero,doppio standard,المعايير المزدوجة
Phrase,N,A,Xinjiang,,Catchphrase employed by the CCP as a device for Whataboutism regarding human rights concerns.,"Some Westerners show double standards, hypocrisy on #Xinjiang",People's Daily,https://twitter.com/PDChina/status/1359457084056731648,hypocrisy on Xinjiang,hypocrisie sur le Xinjiang,hipocresía sobre Xinjiang,ipocrisia sul Xinjiang,النفاق عن شينجيانغ
Phrase,N,A,Xinjiang,,Slogan attempting to dismiss concerns about human rights by attacking the accuser.,"In the past two years, based on so-called Xinjiang-related research reports concocted by pseudo-scholars such as Adrian Zenz, and experiences of some so-called ""witnesses,"" the United States has wooed anti-China forces in the West to make up and disseminate fallacies related to Xinjiang, falsely accuse China of committing genocide against Uygurs in Xinjiang, defame China's policy on Xinjiang, grossly interfere in China's internal affairs, and announce sanctions against Chinese entities and individuals, in an attempt to deceive the international community and disrupt Xinjiang's stability and development.",Xinhua,http://www.news.cn/english/northamerica/2021-08/24/c_1310145560.htm,Western pseudo scholar,Pseudo savant occidental,pseudo académico occidental,pseudo studiosi occidentali,عالم غربي زائف 
Phrase,V,A,Xinjiang,,,,,,spread lies about Xinjiang,diffuser des mensonges sur le Xinjiang,difundir mentiras sobre Xinjiang,diffondere menzogne sul Xinjiang,نشر الأكاذيب حول شينجيانغ
Phrase,V,A,Xinjiang,,,,,,eradicate terrorism and extremism at the root,éradiquer le terrorisme et l'extrémisme à la racine,erradicar el terrorismo y el extremismo desde la raíz,estirpare il terrorismo e l'estremismo alla radice,استئصال جذور الإرهاب والتطرف
Phrase,N,A,Xinjiang,,Slogan attempting to dismiss concerns about human rights by attacking the accuser.,"The so-called ""genocide"" stemmed from a single source: a paper by far-right ideologue Adrian Zenz",Xinhua,https://twitter.com/XHNews/status/1364977665522892803,ideologue Adrian Zenz,l'idéologue Adrian Zenz,ideólogo Adrian Zenz,ideologo Adrian Zenz,المنظر أدريان زينز
Phrase,V,A,Xinjiang,,,,,,undermine security and stability,compromettre la sécurité et la stabilité,comprometer la seguridad y estabilidad,minacciare la sicurezza e la stabilità,يقوض الأمن والاستقرار
Phrase,V,A,Xinjiang,,,,,,hinder the development of Xinjiang,entraver le développement du Xinjiang,impedir el desarrollo de Xinjiang,ostacolare lo sviluppo del Xinjiang,تعيق تنمية شينجيانغ
Phrase,V,A,Xinjiang,,,,,,fabricate lies over China's Xinjiang,fabriquer des mensonges sur le Xinjiang chinois,fabricación de mentiras sonbre el Xinjiang chino,inventare menzogne sul Xinjiang,أكاذيب ملفقة حول شينجيانغ الصينية
Phrase,V,A,Xinjiang,,,,,,twist facts about Xinjiang,Faits marquants sur le Xinjiang,manipulación de hechos sobre Xinjiang,distorcere i fatti sul Xinjiang,تحريف الحقائق حول شينجيانغ
Phrase,V,A,Xinjiang,,,,,,slander Xinjiang,calomnier le Xinjiang,calumniar Xinjiang,diffamare il Xinjiang,افتراء بحق شينجيانغ
Phrase,V,A,Xinjiang,,,,,,hype Xinjiang topic,battage médiatique sur le Xinjiang,batalla mediática sobre Xinjian,il clamoroso argomento del Xinjiang,تضخيم موضوع شينجيانغ
Phrase,N,O,Xinjiang,,A characterization of the internment camps unfavorable to the CCP.,"Four years after Beijing launched a brutal crackdown that swept up to a million or more Uyghurs and other mostly Muslim minorities into detention camps and prisons, its control of Xinjiang has entered a new era.",The Independent,https://www.independent.co.uk/news/xinjiang-uyghurs-china-chinese-beijing-b1935591.html,detention camp,camp de détention,campo de detención,campi di detenzione,معسكر اعتقال
Phrase,N,O,Xinjiang,,A characterization of the internment camps unfavorable to the CCP.,"Tapper also noticed that these industries were failing to recognize issues such as the detainment of over one million Uighurs, as well as other minority groups, at the Xinjiang internment camps in western China.",Daily Mail,https://www.dailymail.co.uk/news/article-10280231/CNNs-Jake-Tapper-slams-major-corporations-blinded-Chinese-cash.html,Xinjiang internment camp,camp d'internement au Xinjiang,campo de internamiento de Xinjiang,campi di internamento in Xinjiang,معسكر اعتقال شينجيانغ
Phrase,N,O,Xinjiang,,A characterization of the internment camps unfavorable to the CCP.,"But since then, Beijing has torn-up the 'one country, two systems' treaty on Hong Kong; put upwards of a million Uighurs into concentration camps; boosted cyber spying on its own citizens; cancelled popular personalities in favour of a cult of the new red emperor; brutalised Indian soldiers in the Himalayas; coerced other claimants in its eastern seas; and flown ever-more intimidatory sorties against Taiwan,' he said.",Daily Mail,https://www.dailymail.co.uk/news/article-10071435/Tony-Abbott-warns-war-China-break-quite-soon-Taiwan.html,concentration camp in Xinjiang;concentration camps in Xinjiang,camp de concentration au Xinjiang,campo de concentración en Xinjiang;campos de concentración en Xinjiang,campo di concentramento in Xinjiang;campi di concentramento in Xinjiang,معسكرات الاعتقال في شينجيانغ
Phrase,N,O,Xinjiang,,Directly refers to CCP human rights abuses.,"Foreign experts, governments and media have documented the detention of an estimated 1 million or more people, the demolition of mosques and forced sterilization and abortion.",Daily Mail,https://www.dailymail.co.uk/wires/ap/article-10462791/AP-News-Brief-12-04-m-EST.html,forced sterilisation,stérilisation forcée,esterilización forzada,sterilizzazione forzata,التعقيم القسري
Phrase,N,O,Xinjiang,,Directly refers to CCP human rights abuses.,"But the US along with Britain, the European Union, Canada, Australia, New Zealand, Japan, Denmark, Lithuania, Estonia, Latvia, Sweden and the Netherlands did announce a 'diplomatic boycott' citing 'the ongoing genocide and crimes against humanity in Xinjiang and other human rights violations'.",Daily Mail,https://www.dailymail.co.uk/news/article-10447673/How-Beijings-2022-Winter-Olympic-sportswashing-propaganda-mirrors-Hitlers-1936-efforts-Berlin.html,ongoing genocide,génocide en cours,genocidio en curso,genocidio in corso,الإبادة الجماعية المستمرة
Phrase,N,O,Xinjiang,,Directly refers to CCP human rights abuses.,"Shohrat Zakir, the chairman of the region from 2018-2021, and Erken Tuniyaz, who holds the position now and was previously vice chairman, presided over a repressive campaign of forced assimilation that has imprisoned more than 1 million people under brutal conditions and forced labor.",The Independent,https://www.independent.co.uk/news/treasury-department-myanmar-china-antony-blinken-north-korea-b1973899.html,forced assimilation,assimilation forcée,asimilación forzada,assimilazione forzata,انصهار قسري;استيعاب قسري
Phrase,N,O,Xinjiang,,Directly refers to CCP human rights abuses.,,,,mass surveillance,surveillance de masse,vigilancia masiva,sorveglianza di massa,مراقبة الجماهير
Phrase,N,O,Xinjiang,,Directly refers to CCP human rights abuses.,,,,sexual assault,agression sexuelle,agresión sexual,aggressione sessuale,اعتداء جنسي
Phrase,N,O,Xinjiang,,Directly refers to CCP human rights abuses.,,,,persecuted minorities,minorités persécutées,minorías perseguidas,minoranze perseguitate,الأقليات المضطهدة
Phrase,N,O,Xinjiang,,Directly refers to CCP human rights abuses.,,,,sexual violence,violence sexuelle,violencia sexual,violenza sessuale,عنف جنسي
Phrase,N,A,Hong Kong,rioters,,,,,radical protesters,manifestants radicaux,manifestantes radicales,proteste radicali,متظاهرين متطرفين
Phrase,V,A,Hong Kong,,,,,,restore order in Hong Kong,restaurer l'ordre à Hong Kong,restablecer el orden en Hong Kong,ripristinare l'ordine a Hong Kong,استعادة النظام في هونغ كونغ
Phrase,N,A,Hong Kong,rioters,,,,,violent protesters,manifestants violents,manifestantes violentos,manifestanti violenti,المتظاهرين العنيفين
Phrase,V,A,Hong Kong,,,,,,stop violence and restore order,arrêter la violence et rétablir l'ordre,parar la violencia y restablecer el orden,fermare la violenza e ripristinare l'ordine,أوقفوا العنف وأعيدوا النظام
Phrase,N,A,Hong Kong,,Loaded label applied to democracy protestors.,She thus openly urged rioters to take illegal and violent actions against the central government and the HKSAR government.,China.org.cn,http://www.china.org.cn/world/2021-09/24/content_77771831.htm,rioters,émeutiers,manifestantes ,rivoltosi,المشاغبون
Phrase,V,A,Hong Kong,,,,,,stop meddling in Hong Kong,cesser de se mêler des affaires de Hong Kong,cesar intromisión en asuntos de Hong Kong,basta intromettersi negli affari di Hong Kong,توقف عن التدخل في هونغ كونغ
Phrase,N,R,Hong Kong,,"Made Redundant by ""rioters""",,,,masked rioters,émeutiers masqués,manifestantes enmascarados,rivoltosi camuffati,المشاغبون المقنعون
Phrase,V,A,Hong Kong,,,,,,condemn violence,condamner la violence,condenar la violencia,condannare le violenze,إدانة العنف
Phrase,V,A,Hong Kong,,,,,,support police,soutenir la police,apoyo a la policía,sostenere la polizia,دعم الشرطة
Phrase,V,A,Hong Kong,,,,,,condemn rioters,condamner les émeutiers,condena a los manifestantes,condannare i rivoltosi,شجب المشاغبين
Phrase,V,A,Hong Kong,,,,,,patriots administering Hong Kong,patriotes administrant Hong Kong,patriotas administrando Hong Kong,patrioti che amministrano Hong Kong,وطنيون يديرون هونغ كونغ
Phrase,V,A,Hong Kong,,,,,,patriots governing Hong Kong,patriotes gouvernant Hong Kong,patriotas governando Hong Kong,patrioti che governano Hong Kong,وطنيون يحكمون هونغ كونغ
Phrase,N,A,Hong Kong,,Framing of events in HK in terms of protester violence.,,,,anti-violence,anti-violence,anti-violencia,contro la violenza,ضد العنف
Phrase,V,O,Hong Kong,,,,,,beijing imposed,Pékin a imposé,Pekín impuso,Pechino ha imposto,فرضت بكين
Phrase,N,O,Hong Kong,,Framing of events in HK in terms of human rights.,"The fact that the Chinese government decides to enforce such a law in Hong Kong, where there is space for civil liberties and freedom, shows the nature of this regime",The Independent,https://www.independent.co.uk/asia/china/hong-kong-china-tiananmen-allience-b1920487.html,civil liberties,libertés civiles,libertades civiles,libertà civile,الحريات المدنية
Phrase,V,A,Hong Kong,,,,,,safeguard Hong Kong,sauvegarder Hong Kong,salvaguardar Hong Kong,salvaguardare Hong Kong,حماية هونغ كونغ
Phrase,N,ND,Hong Kong,,Could be discussed neutrally using this term.,"Implementation of national education, including national security education, is the legitimate duty of education authorities all over the world. Different places have different approaches to implement national security education and develop their students' sense of national identity, including knowledge of their own history, culture, respective constitution, geography, etc.",China.org.cn,http://www.china.org.cn/china/2021-11/18/content_77879414.htm,national security education,éducation à la sécurité nationale,educación en Seguridad Nacional,educazione alla sicurezza nazionale,تعليم الأمن القومي
Phrase,N,R,Hong Kong,,,,,,Hong Kong's prosperity,prospérité de Hong Kong,prosperidad de Hong Kong,prosperità di Hong Kong,ازدهار هونغ كونغ
Phrase,N,R,Hong Kong,,,,,,stability in Hong Kong,stabilité à Hong Kong,estabilidad en Hong Kong,stabilità a Hong Kong,الاستقرار في هونغ كونغ
Phrase,N,A,Hong Kong,,Framing of impact and importance of events in HK in terms of stability and prosperity at the expense of human rights.,"She said the U.S. claim of offering ""safe haven"" for Hong Kong residents is completely groundless, and its real purpose is to endorse anti-China, destabilizing forces in Hong Kong, undermine Hong Kong's prosperity and stability and curb China's development, she said.",Xinhua,http://www.xinhuanet.com/english/2021-08/09/c_1310116001.htm,stability and prosperity,stabilité et prospérité,estabilidad y prosperidad,stabilità e prosperità,الاستقرار والازدهار
Phrase,V,A,Hong Kong,,,,,,end to violence,fin de la violence,fín de la violencia,fermare la violenza,انهاء العنف
Phrase,N,A,Hong Kong,,Label applied to protests in order to delegitimize them and give the authorities an air of impartiality.,"Jimmy Lai Chee-ying, an instigator of Hong Kong riots, was sentenced to 13-month imprisonment on Monday for taking part in an unauthorized assembly in Hong Kong's Victoria Park last year.",Xinhua,http://www.news.cn/english/2021-12/13/c_1310369885.htm,unauthorized assembly,assemblage non autorisé,concentración no autorizada,assemblee non autorizzate,التجمع غير المصرح به
Phrase,V,A,Hong Kong,,,,,,stop the violence,cesser la violence,cese de la violencia,fermare la violenza,كفى عنفا
Phrase,N,A,Hong Kong,,Label applied to protests to delegitimize them.,"The violent protests in Hong Kong, which caused tremendous damage to public facilities and seriously undermined social stability, were once called ""a beautiful sight to behold.""",Xinhua,http://www.xinhuanet.com/english/2021-07/08/c_1310049934.htm,violent protest,manifestations violentes,protestas violentas,proteste violente,احتجاج عنيف
Phrase,N,A,Hong Kong,,,,,,Hong Kong secessionist,sécessioniste hongkongais,secesionistas de Hong Kong,secessionisti di Hong Kong,هونغ كونغ الانفصالية
Phrase,N,A,Hong Kong,,Label applied to the democracy movement in order to delegitimize them.,"Hong Kong separatist Joshua Wong has no right to beg other countries to interfere in China’s internal affairs, a FM spokesperson said on Mon when asked about media reports that he is calling on the US to include human rights clause in trade agreement with China.",People's Daily,https://twitter.com/PDChina/status/1173519138721009664,Hong Kong separatist,séparatiste hongkongais,separatistas de Hong Kong,separatisti di Hong Kong,هونغ كونغ الانشقاقية
Phrase,N,O,Hong Kong,,Characterization of civil society members involved in the protests as concerned with democracy and rights.,,,,pro-democracy,pro-démocratie,pro-democracia,pro-democrazia,المؤيدة للديمقراطية
Phrase,V,O,Hong Kong,,,,,,imposed by beijing,imposé par Pékin,impuesta por Pekín,imposti da Pechino,التي فرضتها بكين
Phrase,N,O,Hong Kong,,Characterization of HK officials that stresses their connections to the CCP.,,,,pro-Beijing,pro-Pékin,pro-Pekín,pro-Pechino,الموالية لبكين
Phrase,V,O,Hong Kong,,,,,,imposed by China,Imposé par la Chine,impuesta por China,imposto dalla Cina,تفرضها الصين
Phrase,N,O,Hong Kong,,"Gives attention to the controversies around the law, countering CCP whitewashing.","Hong Kong's Apple Daily is a rare paper, unafraid to openly criticise the Chinese state. Its owner Jimmy Lai was arrested under a controversial security law on Monday.",BBC,https://twitter.com/BBCWorld/status/1293206832996024322,controversial security law,Loi sur la sécurité controversée,ley de seguridad controvertida,controversa legge sulla sicurezza,قانون الأمن المثير للجدل
Phrase,N,O,Hong Kong,,The characterization of the CCP's actions as a crackdown is not favorable to the CCP.,"China's crackdown in Hong Kong, a city Beijing said would be a model for how it would rule Taiwan, has also done little to endear Taiwanese to assurances that their way of life would continue under communist party rule.",Daily Mail,https://www.dailymail.co.uk/news/article-10079579/China-warns-Taiwan-no-choice-battlefield.html,china's crackdown,la répression chinoise,represión de China,repressione cinese,قمع الصين
Phrase,N,O,Hong Kong,,Discussion of human rights violations are damaging to the CCP.,"Dr Agnès Callamard, the global organisation’s secretary general, said Amnesty’s Hong Kong team had “shone a light on human rights violations in the darkest of days”.",The Guardian,https://www.theguardian.com/world/2021/oct/25/amnesty-international-to-close-hong-kong-offices-due-to-national-security-law,human rights violations,Violaions des droits de l'homme,violación de derechos humanos,violanzione dei diritti umani,انتهاكات حقوق الإنسان
Phrase,N,O,Hong Kong,,The historical autonomies enjoyed by HK is to highlight a thorn in the side of the CCP and is not something the state media discuss.,"The proposed changes to Hong Kong’s Film Censorship Ordinance would step up censorship of movies in the semi-autonomous city, expanding an ongoing crackdown on political dissent that has led to the closure of various pro-democracy organizations and the arrests of dozens of activists.",The Independent,https://www.independent.co.uk/news/hong-kong-china-jackie-chan-beijing-chinese-communist-party-b1907731.html,semi-autonomous city,ville semi-autonome,ciudad semi-autónoma,città semi autonoma,مدينة شبه مستقلة
Phrase,N,O,Hong Kong,,Characterization of civil society members involved in the protests as concerned with democracy and rights.,"The trial of eight pro-democracy activists, including Apple Daily newspaper founder Jimmy Lai, who were charged over their roles in an unauthorised Tiananmen vigil last year began on Monday.",The Guardian,https://www.theguardian.com/world/2021/nov/01/hong-kong-jimmy-lai-goes-on-trial-over-tiananmen-vigil,democracy activist,activiste de la démocratie,activistas por la democracia,attivista per la democrazia,ناشط لاجل الديمقراطية;ناشط ديمقراطي
Phrase,V,O,Hong Kong,,,,,,imposed security law,loi sur la sécurité imposée,ley de seguridad impuesta,imposta legge sulla sicurezza,فرض قانون الأمن
Phrase,N,O,Hong Kong,,Discussion of human rights violations are damaging to the CCP.,"One year ago, China imposed a draconian national security law on the city in response to huge - often violent - protests.The measure has seen more than 64 activists charged, anti-China slogans criminalised and even the closure of a critical newspaper as the law sinks the once freewheeling city into what Amnesty International calls a 'human rights emergency'.",Daily Mail,https://www.dailymail.co.uk/news/article-9743653/Chinas-celebrates-centenary-Communist-Party-anniversary-British-handover-Hong-Kong.html,human rights emergency,urgence en matière de droits de l'homme,emergencia en derechos humanos,emergenza diritti umani,حالة طوارئ لانتهاك حقوق الإنسان
Phrase,N,A,Hong Kong,,Framing of impact and importance of events in HK in terms of order at the expense of human rights.,"These acts seriously endanger national sovereignty, security and development interests, undermine the rule of law and public order in Hong Kong, and trample on the bottom line of the principle of ""one country, two systems,"" the spokesperson said.",Xinhua,http://www.news.cn/english/2021-12/11/c_1310365009.htm,order in Hong Kong,Ordre à Hong Kong,orden en Hong Kong,ordine a Hong Kong,النظام في هونغ كونغ
Phrase,V,A,Hong Kong,,,,,,meddling in Hong Kong,l'ingérence à Hong Kong,interferencia en Hong Kong,intromettersi negli affari di Hong Kong,التدخل في هونغ كونغ
Phrase,V,A,Hong Kong,,,,,,foreign interference in Hong Kong,Ingérence étrangère à Hong Kong,interferencia extranjera en Hong Kong,interferenza straniere a Hong Kong,التدخل الأجنبي في هونغ كونغ
Phrase,V,A,Hong Kong,,,,,,support Hong Kong police,Soutenir la police de Hong Kong,apoyar a la policía de Hong Kong,supportare la polizia di Hong Kong,دعم شرطة هونغ كونغ
Phrase,V,A,Hong Kong,,,,,,restore law and order,restaurer l'ordre et le droit,restaurar el orden y la seguirdad,ripristinare la legge e l'ordine,استعادة القانون والنظام
Phrase,V,A,Hong Kong,,,,,,destabilize Hong Kong,déstabiliser Hong Kong,desestabilizar Hong Kong,destabilizzare Hong Kong,زعزعة استقرار هونغ كونغ
Phrase,N,O,Hong Kong,controversial security law,,,,,draconian national security law,loi sur la sécurité nationale draconienne,draconiana ley de seguirdad nacional,draconiana legge sulla sicurezza nazionale,قانون الأمن القومي الصارم
Phrase,V,A,Hong Kong,,,,,,crackdown on Hong Kong,répression à Hong Kong,represión de Hong Kong,repressione a Hong Kong,قمع هونغ كونغ
Phrase,V,O,Hong Kong,,,,,,glory to Hong Kong,gloire à Hong Kong,gloria a Hong Kong,gloria a Hong Kong,المجد لهونغ كونغ
Phrase,N,O,Hong Kong,,The CCP rejects the characterization of protests and actions in HK as motivated by democracy.,"Kanter's remarks, and the backlash, come two years after then-Houston Rockets general manager Daryl Morey's comments in support of the democracy movement in Chinese-ruled Hong Kong prompted state broadcaster CCTV to cease broadcasting NBA games and e-commerce vendors to remove listings for Rockets merchandise",Daily Mail,https://www.dailymail.co.uk/news/article-10412639/Silicon-Valley-billionaire-Golden-State-Warriors-Chamath-Palihapitiya-cowardly-Uyghur-Muslims.html,democracy movement,mouvement pour la démocratie,movimiento por la democracia,movimento per la democrazia,حركة الديمقراطية
Phrase,V,O,Hong Kong,,,,,,crackdown on dissent,répression de la dissidence,represión de la disidencia,repressione del dissenso,قمع المعارضة
Phrase,V,O,Hong Kong,,,,,,suppression of democratic protests,la répression des protestations démocratiques,represión de protestas por la democracia,repressione delle manifestazioni per la democrazia,قمع التظاهرات الديمقراطية
Phrase,N,O,Hong Kong,controversial security law,,,,,harsh national security law,une loi sévère sur la sécurité nationale,dura ley de seguirdad nacional,severa legge sulla sicurezza nazionale,قانون الأمن القومي القاسي
Phrase,N,A,Huawei-TikTok,,Characterizing concern about security as about US bullying.,"When [Washington] slandered Beijing as a threat to global digital security, it was in fact a reckless seeker of digital hegemony with an appalling record of eavesdropping.",Xinhua,https://english.news.cn/20220124/bd77f15c1fa34c25b0a9fb7d9ffc8c6e/c.html,digital hegemony,hégémonie numérique,hegemonía digital,egemonia digitale,الهيمنة الرقمية
Phrase,V,A,Huawei-TikTok,,,,,,suppress Huawei,supprimer Huawei,supresión de Huawei,reprimere Huawei,قمع هواوي
Phrase,N,A,Huawei-TikTok,,Characterizing concern about security as about US bullying.,"The world community should stand firmly together against Washington's tech bullying so that digital harmony, instead of digital hegemony, will prevail at last.",Xinhua,http://www.news.cn/english/northamerica/2021-12/14/c_1310372145.htmm,tech bullying,harcèlement technologique,acoso tecnológico,bullismo tecnologico,البلطجة التكنولوجية
Phrase,N,A,Huawei-TikTok,,Characterizing concern about security as about US bullying.,"However, Washington's reckless pursuit of digital domination runs counter to the trend of development and cooperation.",Xinhua,http://www.news.cn/english/northamerica/2021-12/14/c_1310372145.htm,digital domination,domination numérique,dominio digital,dominazione digitale,الهيمنة الرقمية
Phrase,N,A,Huawei-TikTok,,Placing stress on the cooperative aspect of PRC tech export.,"The Thai government intends to further deepen its digital cooperation with Chinese technology company Huawei, senior Thai officials said at a cloud event held in Bangkok this week.",China.org.cn,http://www.china.org.cn/world/2021-11/21/content_77884146.htm,digital cooperation,coopération numérique,cooperación digital,cooperazione digitale,التعاون الرقمي
Phrase,N,A,Huawei-TikTok,,Placing stress on the development aspect of PRC tech export.,"Huawei will boost Malaysia's digitization efforts as the Chinese telecom giant seeks to accelerate the country's digital economy transformation by building the country into a regional digital hub, Huawei said on Tuesday.",Huawei,http://www.news.cn/english/2021-11/23/c_1310328210.htm,digital economy transformation,transformation numérique de l'économie,transformación de la economía digital,trasformazione dell'economia digitale,التحول الاقتصادي الرقمي
Phrase,N,A,Huawei-TikTok,,Reducing national security concerns to an excuse.,"For a long time, the United States has been abusing its global supremacy to arbitrarily bully and crack down on sci-tech companies in other countries in the guise of national security.",Xinhua,https://english.news.cn/20211015/C9A3F7AEA8700001CECBAA701AF017A2/c.html,the guise of national security,le couvert de la sécurité nationale,la excusa de la seguidad naciona,il pretesto della sicurezza nazionale;la scusa della sicurezza nazionale,ستار الأمن القومي
Phrase,N,R,Huawei-TikTok,,"Redundant by the one above, made after the translation, so kept for historical reasons",,,,under the guise of national security,sous le couvert de la sécurité nationale,con la excusa de la seguidad naciona,con il pretesto della sicurezza nazionale;con la scusa della sicurezza nazionale,تحت ستار الأمن القومي;التعنيف التكنولوجي
